,EmployeeNumber,Age,Tenure,Turnover,HourlyRate,HoursWeekly,CompensationType,AnnualSalary,DrivingCommuterDistance,JobRoleArea,Gender,MaritalStatus,NumCompaniesPreviouslyWorked,AnnualProfessionalDevHrs,PaycheckMethod,TextMessageOptIn
23,24,54,15,No,87.22,40,Salary,281417.6,75.0,Manufacturing,Female,Divorced,7.0,24.0,Mail Check,Yes
24,25,36,3,Yes,87.2,40,Salary,281376.0,57.73669908466819,Research,Female,Married,1.0,10.0,Direct Deposit,Yes
25,26,40,8,No,87.2,40,Salary,281376.0,57.73669908466819,Research,Female,Married,4.0,14.9435790506562,Direct Deposit,Yes
26,27,32,6,No,31.02,40,Salary,64521.6,57.73669908466819,Research,Female,Married,1.0,18.0,Mail Check,Yes
27,28,32,5,No,31.02,40,Salary,64521.6,57.73669908466819,Research,Female,Married,2.0,11.0,Mail Check,Yes
28,29,41,7,No,89.4,40,Salary,285952.0,28.0,Healthcare,Prefer Not to Answer,Single,6.0,20.0,Mail Check,Yes
29,30,44,18,Yes,89.4,40,Salary,285952.0,28.0,Healthcare,Prefer Not to Answer,Single,6.0,25.0,Mail Check,
30,31,30,1,No,24.5,40,Salary,50960.0,57.73669908466819,Human Resources,Female,Divorced,3.0,17.0,Mail Check,Yes
31,32,34,2,No,24.5,40,Salary,50960.0,57.73669908466819,Human Resources,Female,Divorced,3.0,14.9435790506562,Mail Check,Yes
32,33,38,8,No,88.78,40,Salary,284662.4,57.73669908466819,Laboratory,Prefer Not to Answer,Divorced,1.0,21.0,Mail Check,Yes
33,34,56,8,No,88.78,40,Salary,284662.4,57.73669908466819,Laboratory,Prefer Not to Answer,Divorced,3.0,25.0,Mail Check,Yes
34,35,28,4,No,25.14,40,Salary,52291.2,57.73669908466819,Laboratory,Female,Married,2.0,12.0,Mail Check,Yes
35,36,35,6,Yes,25.14,40,Salary,52291.2,57.73669908466819,Laboratory,Female,Married,6.0,7.0,Mail Check,Yes
36,37,37,5,Yes,85.44,40,Salary,177715.2,33.0,Sales,Female,Single,6.0,12.0,Mail Check,
37,38,44,10,No,85.44,40,Salary,177715.2,33.0,Sales,Female,Single,7.0,19.0,Mail Check,Yes
38,39,36,7,No,29.21,40,Salary,60756.8,79.0,Laboratory,Female,Divorced,2.0,14.9435790506562,Direct Deposit,Yes
39,40,37,9,No,29.21,40,Salary,60756.8,79.0,Laboratory,Female,Divorced,4.0,22.0,Direct Deposit,Yes
40,41,30,1,No,23.86,40,Salary,49628.8,50.0,Marketing,Female,Single,1.0,12.0,Mail Check,Yes
41,42,30,8,Yes,23.86,40,Salary,49628.8,50.0,Marketing,Female,Single,2.0,21.0,Mail Check,Yes
42,43,21,1,Yes,22.24,40,Salary,122304.35966790037,57.7366990846682,Research,Female,Single,3.0,12.0,Direct Deposit,Yes
43,44,23,1,Yes,22.24,40,Salary,122304.35966790037,57.7366990846682,Research,Female,Married,2.0,11.0,Direct Deposit,Yes
44,45,36,8,No,84.7,40,Salary,176176.0,75.0,Manufacturing,Prefer Not to Answer,Divorced,6.0,9.0,Mail Check,Yes
45,46,45,20,No,84.7,40,Salary,176176.0,75.0,Manufacturing,Prefer Not to Answer,Divorced,4.219985164776942,9.0,Mail Check,Yes
46,47,36,1,Yes,26.48,40,Salary,55078.4,57.0,Sales,Female,Divorced,6.0,24.0,Direct Deposit,Yes
47,48,38,3,Yes,26.48,40,Salary,55078.4,57.0,Sales,Female,Divorced,1.0,10.0,Direct Deposit,Yes
48,49,36,2,Yes,28.3,40,Salary,58864.0,82.0,Sales,Female,Married,2.0,24.0,Mail Check,Yes
49,50,40,8,No,28.3,40,Salary,58864.0,82.0,Sales,Female,Married,5.0,14.0,Mail Check,Yes
50,51,27,3,Yes,22.72,40,Salary,47257.6,57.73669908466819,Human Resources,Male,Single,2.0,5.0,Mail Check,Yes
51,52,32,3,Yes,22.72,40,Salary,47257.6,57.73669908466819,Human Resources,Male,Single,3.0,14.0,Mail Check,Yes
52,53,44,18,No,87.0,40,Salary,280960.0,42.0,Manufacturing,Prefer Not to Answer,Divorced,7.0,13.0,Mail Check,Yes
53,54,47,9,No,87.0,40,Salary,280960.0,42.0,Manufacturing,Prefer Not to Answer,Divorced,1.0,14.9435790506562,Mail Check,Yes
54,55,44,16,No,31.3,40,Salary,122304.35966790037,57.73669908466819,Marketing,Male,Divorced,8.0,22.0,Mail Check,Yes
55,56,50,8,No,31.3,40,Salary,122304.35966790037,57.73669908466819,Marketing,Male,Divorced,5.0,10.0,Mail Check,Yes
56,57,31,9,No,26.33,40,Salary,54766.4,60.0,Healthcare,Male,Single,1.0,14.9435790506562,Mail Check,Yes
57,58,33,5,Yes,26.33,40,Salary,54766.4,60.0,Healthcare,Male,Single,3.0,17.0,Mail Check,Yes
58,59,46,16,Yes,89.35,40,Salary,285848.0,64.0,Healthcare,Prefer Not to Answer,Single,2.0,14.9435790506562,Mail Check,
59,60,48,17,Yes,89.35,40,Salary,285848.0,64.0,Healthcare,Prefer Not to Answer,Single,1.0,6.0,Mail Check,Yes
60,61,37,8,Yes,28.66,40,Salary,59612.8,33.0,Marketing,Female,Single,6.0,14.9435790506562,Mail Check,Yes
61,62,39,4,Yes,28.66,40,Salary,59612.8,33.0,Marketing,Female,Single,3.0,14.9435790506562,Mail Check,Yes
62,63,33,5,No,26.14,40,Salary,54371.2,36.0,Manufacturing,Female,Divorced,1.0,14.9435790506562,Mail Check,Yes
63,64,39,1,No,26.14,40,Salary,54371.2,36.0,Manufacturing,Female,Divorced,2.0,11.0,Mail Check,Yes
64,65,30,3,Yes,29.49,40,Salary,122304.35966790037,57.73669908466819,Marketing,Female,Married,1.0,19.0,Mail Check,Yes
65,66,32,5,Yes,29.49,40,Salary,122304.35966790037,57.73669908466819,Marketing,Female,Married,3.0,8.0,Mail Check,Yes
66,67,30,8,No,24.74,40,Salary,51459.2,77.0,Sales,Male,Divorced,1.0,21.0,Mail Check,Yes
67,68,32,4,No,24.74,40,Salary,51459.2,77.0,Sales,Male,Divorced,2.0,8.0,Mail Check,Yes
68,69,40,4,Yes,85.33,40,Salary,177486.4,57.73669908466819,Sales,Prefer Not to Answer,Single,9.0,19.0,Mail Check,
69,70,45,16,Yes,85.33,40,Salary,177486.4,57.73669908466819,Sales,Prefer Not to Answer,Single,5.0,14.9435790506562,Mail Check,Yes
70,71,48,7,No,85.22,40,Salary,177257.6,33.0,Laboratory,Prefer Not to Answer,Single,8.0,6.0,Mail Check,
71,72,57,5,No,85.22,40,Salary,177257.6,33.0,Laboratory,Prefer Not to Answer,Single,5.0,12.0,Mail Check,Yes
72,73,28,6,No,22.8,40,Salary,47424.0,24.0,Research,Female,Divorced,2.0,19.0,Mail Check,Yes
73,74,28,1,Yes,22.8,40,Salary,47424.0,24.0,Research,Female,Divorced,3.0,18.0,Mail Check,Yes
74,75,34,6,No,28.2,40,Salary,58656.0,57.7366990846682,Sales,Male,Single,4.0,17.0,Direct Deposit,Yes
75,76,40,4,No,28.2,40,Salary,58656.0,57.7366990846682,Sales,Male,Single,5.0,20.0,Direct Deposit,Yes
76,77,30,7,No,28.1,40,Salary,58448.0,57.73669908466819,Sales,Male,Single,1.0,12.0,Mail Check,Yes
77,78,40,3,Yes,28.1,40,Salary,58448.0,57.73669908466819,Sales,Male,Single,1.0,22.0,Mail Check,Yes
78,79,34,9,No,26.59,40,Salary,55307.2,67.0,Human Resources,Female,Divorced,2.0,20.0,Mail Check,Yes
79,80,37,3,No,26.59,40,Salary,55307.2,67.0,Human Resources,Female,Divorced,3.0,6.0,Mail Check,Yes
80,81,52,6,No,89.31,40,Salary,285764.8,41.0,Research,Male,Married,7.0,14.9435790506562,Mail Check,Yes
81,82,53,9,Yes,89.31,40,Salary,285764.8,41.0,Research,Male,Married,6.0,14.9435790506562,Mail Check,Yes
82,83,50,10,No,88.27,40,Salary,283601.6,60.0,Research,Male,Married,3.0,12.0,Direct Deposit,Yes
83,84,54,17,No,88.27,40,Salary,283601.6,60.0,Research,Male,Married,6.0,16.0,Direct Deposit,Yes
84,85,53,18,Yes,31.39,40,Salary,65291.2,62.0,Human Resources,Female,Divorced,2.0,25.0,Mail Check,Yes
85,86,57,14,Yes,31.39,40,Salary,65291.2,62.0,Human Resources,Female,Divorced,9.0,18.0,Mail Check,Yes
86,87,39,7,Yes,31.39,40,Salary,65291.2,47.0,Human Resources,Female,Divorced,4.0,6.0,Mail Check,Yes
87,88,55,10,Yes,31.39,40,Salary,65291.2,47.0,Human Resources,Female,Divorced,1.0,14.9435790506562,Mail Check,Yes
88,89,31,9,No,28.73,40,Salary,59758.4,28.0,Laboratory,Female,Married,1.0,25.0,Mail Check,Yes
89,90,40,1,No,28.73,40,Salary,59758.4,28.0,Laboratory,Female,Married,6.0,10.0,Mail Check,Yes
90,91,36,9,No,28.73,40,Salary,59758.4,57.73669908466819,Laboratory,Female,Married,3.0,11.0,Mail Check,Yes
91,92,39,4,No,28.73,40,Salary,59758.4,57.73669908466819,Laboratory,Female,Married,6.0,18.0,Mail Check,Yes
92,93,44,8,Yes,48.45,40,Salary,100776.0,76.0,Marketing,Female,Married,5.0,12.0,Mail Check,Yes
93,94,59,6,Yes,48.45,40,Salary,100776.0,76.0,Marketing,Female,Married,7.0,14.9435790506562,Mail Check,Yes
94,95,48,13,Yes,85.4,40,Salary,177632.0,31.0,Research,Male,Single,7.0,5.0,Mail Check,
95,96,54,17,No,85.4,40,Salary,177632.0,31.0,Research,Male,Single,2.0,25.0,Mail Check,Yes
96,97,44,6,No,71.9,40,Salary,149552.0,32.0,Marketing,Male,Married,6.0,14.9435790506562,Mail Check,Yes
97,98,58,19,No,71.9,40,Salary,149552.0,32.0,Marketing,Male,Married,5.0,23.0,Mail Check,Yes
98,99,48,17,Yes,71.33,40,Salary,148075.2,50.0,Sales,Prefer Not to Answer,Married,8.0,8.0,Mail Check,Yes
99,100,57,17,No,71.33,40,Salary,148075.2,50.0,Sales,Prefer Not to Answer,Married,9.0,22.0,Mail Check,Yes
100,101,49,7,No,65.62,40,Salary,136489.6,57.7366990846682,Research,Male,Divorced,6.0,17.0,Direct Deposit,Yes
101,102,52,17,Yes,65.62,40,Salary,136489.6,57.7366990846682,Research,Male,Divorced,1.0,6.0,Direct Deposit,Yes
102,103,37,10,Yes,56.11,40,Salary,116708.8,33.0,Healthcare,Male,Divorced,1.0,14.9435790506562,Mail Check,Yes
103,104,49,7,Yes,56.11,40,Salary,116708.8,33.0,Healthcare,Male,Divorced,1.0,22.0,Mail Check,Yes
104,105,44,14,No,80.12,40,Salary,166649.6,56.0,Human Resources,Male,Married,1.0,14.9435790506562,Mail Check,Yes
105,106,59,13,Yes,80.12,40,Salary,166649.6,56.0,Human Resources,Male,Married,9.0,6.0,Mail Check,Yes
106,107,34,4,No,25.71,40,Salary,53476.8,32.0,Marketing,Male,Single,3.0,17.0,Direct Deposit,Yes
107,108,34,1,No,25.71,40,Salary,53476.8,32.0,Marketing,Male,Single,5.0,5.0,Direct Deposit,Yes
108,109,41,6,Yes,97.05,40,Salary,202864.0,22.0,Research,Female,Divorced,3.0,23.0,Mail Check,Yes
109,110,42,3,No,97.05,40,Salary,202864.0,22.0,Research,Female,Divorced,5.0,6.0,Mail Check,Yes
110,111,33,4,Yes,25.17,40,Salary,52353.6,51.0,Human Resources,Male,Single,6.0,14.0,Direct Deposit,Yes
111,112,35,7,Yes,25.17,40,Salary,52353.6,51.0,Human Resources,Male,Single,6.0,25.0,Direct Deposit,Yes
112,113,39,8,Yes,81.64,40,Salary,169811.2,60.0,Marketing,Male,Divorced,2.0,17.0,Mail Check,Yes
113,114,58,7,No,81.64,40,Salary,169811.2,60.0,Marketing,Male,Divorced,2.0,12.0,Mail Check,Yes
114,115,44,12,Yes,40.53,40,Salary,84302.4,58.0,Sales,Female,Married,9.0,14.9435790506562,Mail Check,Yes
115,116,60,10,No,40.53,40,Salary,84302.4,58.0,Sales,Female,Married,9.0,8.0,Mail Check,Yes
116,117,31,3,No,23.42,40,Salary,48713.6,57.73669908466819,Research,Female,Divorced,2.0,6.0,Direct Deposit,
117,118,35,4,Yes,23.42,40,Salary,48713.6,57.73669908466819,Research,Female,Divorced,4.0,15.0,Direct Deposit,Yes
118,119,37,3,No,65.52,40,Salary,136281.6,36.0,Healthcare,Female,Married,2.0,11.0,Mail Check,Yes
119,120,48,19,Yes,65.52,40,Salary,136281.6,36.0,Healthcare,Female,Married,7.0,23.0,Mail Check,Yes
120,121,33,3,Yes,28.09,40,Salary,58427.2,34.0,Sales,Female,Single,1.0,13.0,Mail Check,Yes
121,122,34,1,Yes,28.09,40,Salary,58427.2,34.0,Sales,Female,Single,4.0,22.0,Mail Check,Yes
122,123,35,6,Yes,26.84,40,Salary,55827.2,60.0,Sales,Male,Divorced,1.0,21.0,Mail Check,Yes
123,124,38,3,No,26.84,40,Salary,55827.2,60.0,Sales,Male,Divorced,2.0,25.0,Mail Check,Yes
124,125,36,10,Yes,34.87,40,Salary,72529.6,57.73669908466819,Research,Female,Single,1.0,14.9435790506562,Mail Check,Yes
125,126,48,13,Yes,34.87,40,Salary,72529.6,57.73669908466819,Research,Female,Single,4.0,13.0,Mail Check,Yes
126,127,38,5,Yes,83.05,40,Salary,172744.0,37.0,Marketing,Female,Single,1.0,5.0,Mail Check,Yes
127,128,42,8,No,83.05,40,Salary,172744.0,37.0,Marketing,Female,Single,6.0,12.0,Mail Check,
128,129,40,10,No,59.45,40,Salary,123656.0,42.0,Research,Female,Married,6.0,14.9435790506562,Mail Check,Yes
129,130,45,16,Yes,59.45,40,Salary,123656.0,42.0,Research,Female,Married,3.0,14.0,Mail Check,Yes
130,131,56,16,No,35.54,40,Salary,73923.2,57.7366990846682,Healthcare,Male,Married,7.0,8.0,Mail Check,Yes
131,132,56,18,No,35.54,40,Salary,73923.2,57.7366990846682,Healthcare,Male,Married,3.0,24.0,Mail Check,Yes
132,133,40,1,Yes,43.0,40,Salary,89440.0,26.0,Sales,Female,Divorced,2.0,14.9435790506562,Direct Deposit,Yes
133,134,44,10,Yes,43.0,40,Salary,89440.0,26.0,Sales,Female,Divorced,6.0,18.0,Direct Deposit,Yes
134,135,49,18,Yes,62.53,40,Salary,130062.4,77.0,Healthcare,Male,Single,5.0,14.9435790506562,Direct Deposit,Yes
135,136,58,20,Yes,62.53,40,Salary,130062.4,77.0,Healthcare,Male,Single,2.0,10.0,Direct Deposit,
136,137,34,1,No,26.06,40,Salary,54204.8,35.0,Laboratory,Female,Married,5.0,8.0,Direct Deposit,Yes
137,138,39,9,No,26.06,40,Salary,54204.8,35.0,Laboratory,Female,Married,5.0,16.0,Direct Deposit,
138,139,37,7,No,60.01,40,Salary,124820.8,34.0,Healthcare,Female,Married,5.0,14.9435790506562,Mail Check,Yes
139,140,60,11,No,60.01,40,Salary,124820.8,34.0,Healthcare,Female,Married,2.0,15.0,Mail Check,Yes
140,141,39,9,No,50.74,40,Salary,105539.2,74.0,Manufacturing,Female,Married,3.0,14.9435790506562,Mail Check,Yes
141,142,54,11,Yes,50.74,40,Salary,105539.2,74.0,Manufacturing,Female,Married,9.0,15.0,Mail Check,Yes
142,143,39,8,No,53.28,40,Salary,110614.4,62.0,Manufacturing,Male,Divorced,4.0,7.0,Mail Check,Yes
143,144,54,10,No,53.28,40,Salary,110614.4,62.0,Manufacturing,Male,Divorced,1.0,24.0,Mail Check,Yes
144,145,30,6,Yes,24.64,40,Salary,51251.2,57.73669908466819,Human Resources,Female,Divorced,2.0,22.0,Direct Deposit,Yes
145,146,30,1,No,24.64,40,Salary,51251.2,57.73669908466819,Human Resources,Female,Divorced,3.0,14.9435790506562,Direct Deposit,Yes
146,147,39,8,No,86.33,40,Salary,179566.4,57.73669908466819,Research,Female,Married,3.0,12.0,Mail Check,Yes
147,148,47,12,Yes,86.33,40,Salary,179566.4,57.73669908466819,Research,Female,Married,4.0,8.0,Mail Check,Yes
148,149,33,7,Yes,31.1,40,Salary,64688.0,84.0,Human Resources,Female,Single,1.0,21.0,Mail Check,Yes
149,150,37,7,No,31.1,40,Salary,64688.0,84.0,Human Resources,Female,Single,6.0,14.9435790506562,Mail Check,Yes
150,151,34,5,No,23.37,40,Salary,48609.6,60.0,Human Resources,Male,Divorced,2.0,18.0,Mail Check,
151,152,35,9,Yes,23.37,40,Salary,48609.6,60.0,Human Resources,Male,Divorced,5.0,25.0,Mail Check,Yes
152,153,50,7,No,60.42,40,Salary,125673.6,44.0,Human Resources,Male,Divorced,1.0,12.0,Direct Deposit,Yes
153,154,55,19,No,60.42,40,Salary,125673.6,44.0,Human Resources,Male,Divorced,8.0,24.0,Direct Deposit,Yes
154,155,36,2,Yes,28.04,40,Salary,58323.2,61.0,Manufacturing,Male,Married,2.0,8.0,Mail Check,Yes
155,156,38,7,Yes,28.04,40,Salary,58323.2,61.0,Manufacturing,Male,Married,6.0,10.0,Mail Check,Yes
156,157,43,3,No,59.17,40,Salary,123073.6,87.0,Sales,Female,Married,6.0,14.9435790506562,Mail Check,Yes
157,158,55,14,No,59.17,40,Salary,123073.6,87.0,Sales,Female,Married,8.0,21.0,Mail Check,Yes
158,159,31,3,No,25.41,40,Salary,52852.8,75.0,Marketing,Male,Single,2.0,14.9435790506562,Mail Check,Yes
159,160,32,5,Yes,25.41,40,Salary,52852.8,75.0,Marketing,Male,Single,1.0,14.9435790506562,Mail Check,Yes
160,161,30,2,Yes,25.57,40,Salary,53285.6,79.0,Healthcare,Male,Married,3.0,23.0,Mail Check,Yes
161,162,33,9,No,25.57,40,Salary,53285.6,79.0,Healthcare,Male,Married,4.0,14.9435790506562,Mail Check,
162,163,34,5,Yes,28.09,40,Salary,58427.2,57.7366990846682,Sales,Male,Single,5.0,23.0,Mail Check,Yes
163,164,36,5,No,28.09,40,Salary,58427.2,57.7366990846682,Sales,Male,Single,2.0,12.0,Mail Check,Yes
164,165,48,11,Yes,33.29,40,Salary,69243.2,46.0,Research,Male,Single,3.0,17.0,Mail Check,Yes
165,166,61,11,No,33.29,40,Salary,69243.2,46.0,Research,Male,Single,8.0,21.0,Mail Check,Yes
166,167,41,3,No,91.85,40,Salary,331048.0,57.73669908466819,Sales,Female,Married,6.0,25.0,Mail Check,Yes
167,168,58,16,No,91.85,40,Salary,331048.0,57.73669908466819,Sales,Female,Married,2.0,14.9435790506562,Mail Check,Yes
168,169,57,15,Yes,45.29,40,Salary,94203.2,33.0,Healthcare,Male,Single,1.0,5.0,Mail Check,
169,170,58,10,No,45.29,40,Salary,94203.2,33.0,Healthcare,Male,Single,4.0,24.0,Mail Check,Yes
170,171,41,8,No,96.17,40,Salary,200033.6,52.0,Laboratory,Male,Single,1.0,6.0,Direct Deposit,
171,172,55,15,No,96.17,40,Salary,200033.6,52.0,Laboratory,Male,Single,4.0,21.0,Direct Deposit,Yes
172,173,48,5,No,76.51,40,Salary,159140.8,73.0,Human Resources,Female,Single,8.0,22.0,Mail Check,Yes
173,174,61,10,No,76.51,40,Salary,159140.8,73.0,Human Resources,Female,Single,4.219985164776942,14.9435790506562,Mail Check,
174,175,37,4,No,57.15,40,Salary,128872.0,42.0,Human Resources,Female,Divorced,6.0,23.0,Mail Check,Yes
175,176,42,3,Yes,57.15,40,Salary,128872.0,42.0,Human Resources,Female,Divorced,3.0,10.0,Mail Check,Yes
176,177,55,16,No,64.59,40,Salary,134347.2,50.0,Manufacturing,Male,Divorced,8.0,5.0,Mail Check,Yes
177,178,56,17,Yes,64.59,40,Salary,134347.2,50.0,Manufacturing,Male,Divorced,5.0,20.0,Mail Check,Yes
178,179,26,3,Yes,22.38,40,Salary,46550.4,53.0,Laboratory,Male,Single,2.0,7.0,Direct Deposit,Yes
179,180,26,3,No,22.38,40,Salary,46550.4,53.0,Laboratory,Male,Single,2.0,14.9435790506562,Direct Deposit,Yes
180,181,38,6,No,44.26,40,Salary,92060.8,85.0,Human Resources,Female,Married,1.0,18.0,Mail Check,Yes
181,182,60,14,No,44.26,40,Salary,92060.8,85.0,Human Resources,Female,Married,4.0,22.0,Mail Check,Yes
182,183,43,3,No,71.87,40,Salary,149489.6,66.0,Marketing,Female,Married,8.0,19.0,Direct Deposit,Yes
183,184,55,8,Yes,71.87,40,Salary,149489.6,66.0,Marketing,Female,Married,1.0,7.0,Direct Deposit,Yes
184,185,43,3,No,64.88,40,Salary,134950.4,42.0,Human Resources,Female,Divorced,8.0,14.9435790506562,Mail Check,Yes
185,186,48,20,No,64.88,40,Salary,134950.4,42.0,Human Resources,Female,Divorced,9.0,17.0,Mail Check,Yes
186,187,36,5,No,42.17,40,Salary,87713.6,80.0,Manufacturing,Female,Divorced,6.0,9.0,Mail Check,Yes
187,188,41,9,Yes,42.17,40,Salary,87713.6,80.0,Manufacturing,Female,Divorced,3.0,14.9435790506562,Mail Check,Yes
188,189,47,12,No,37.36,40,Salary,77708.8,55.0,Research,Male,Divorced,4.0,14.9435790506562,Direct Deposit,Yes
189,190,51,9,No,37.36,40,Salary,77708.8,55.0,Research,Male,Divorced,7.0,20.0,Direct Deposit,Yes
190,191,47,6,Yes,32.42,40,Salary,67433.6,66.0,Sales,Female,Married,5.0,21.0,Mail Check,Yes
191,192,59,17,Yes,32.42,40,Salary,67433.6,66.0,Sales,Female,Married,2.0,12.0,Mail Check,Yes
192,193,39,6,No,31.08,40,Salary,64646.4,50.0,Sales,Male,Married,5.0,25.0,Mail Check,Yes
193,194,39,7,No,31.08,40,Salary,64646.4,50.0,Sales,Male,Married,4.0,19.0,Mail Check,Yes
194,195,50,15,Yes,86.72,40,Salary,280377.6,57.73669908466819,Healthcare,Female,Divorced,4.219985164776942,14.9435790506562,Mail Check,Yes
195,196,58,15,Yes,86.72,40,Salary,280377.6,57.73669908466819,Healthcare,Female,Divorced,4.0,14.9435790506562,Mail Check,Yes
196,197,30,7,No,30.8,40,Salary,64064.0,57.73669908466819,Human Resources,Male,Married,3.0,21.0,Direct Deposit,Yes
197,198,39,4,No,30.8,40,Salary,64064.0,57.73669908466819,Human Resources,Male,Married,1.0,14.9435790506562,Direct Deposit,Yes
198,199,38,7,Yes,86.23,40,Salary,179358.4,53.0,Marketing,Female,Married,6.0,7.0,Direct Deposit,Yes
199,200,42,4,No,86.23,40,Salary,179358.4,53.0,Marketing,Female,Married,7.0,14.0,Direct Deposit,Yes
200,201,30,1,No,28.33,40,Salary,58635.2,70.0,Human Resources,Female,Single,3.0,12.0,Mail Check,Yes
201,202,61,19,No,40.71,40,Salary,84676.8,57.7366990846682,Sales,Female,Single,2.0,6.0,Mail Check,Yes
202,203,30,6,No,28.63,40,Salary,59550.4,58.0,Marketing,Female,Divorced,2.0,14.0,Mail Check,Yes
203,204,41,2,No,94.94,40,Salary,337475.2,57.7366990846682,Human Resources,Female,Single,6.0,16.0,Direct Deposit,Yes
204,205,56,6,No,36.39,40,Salary,75691.2,64.0,Laboratory,Female,Married,1.0,15.0,Mail Check,Yes
205,206,45,7,No,70.2,40,Salary,146016.0,57.73669908466819,Marketing,Male,Married,2.0,10.0,Mail Check,Yes
206,207,49,7,No,95.6,40,Salary,338848.0,57.73669908466819,Research,Male,Married,2.0,14.9435790506562,Mail Check,Yes
207,208,34,2,Yes,27.49,40,Salary,57179.2,43.0,Laboratory,Male,Single,4.0,14.9435790506562,Mail Check,Yes
208,209,38,10,Yes,88.71,40,Salary,284516.8,57.73669908466819,Sales,Male,Single,1.0,12.0,Direct Deposit,Yes
209,210,61,9,Yes,90.68,40,Salary,288614.4,51.0,Human Resources,Male,Married,4.0,14.9435790506562,Mail Check,Yes
210,211,56,9,Yes,62.63,40,Salary,130270.4,57.73669908466819,Healthcare,Female,Divorced,6.0,13.0,Direct Deposit,Yes
211,212,42,5,No,49.49,40,Salary,102939.2,33.0,Research,Female,Single,5.0,13.0,Mail Check,No
212,213,44,14,No,59.65,40,Salary,124072.0,58.0,Marketing,Female,Divorced,4.0,19.0,Direct Deposit,Yes
213,214,36,9,No,56.51,40,Salary,117540.8,57.73669908466819,Human Resources,Female,Married,6.0,21.0,Mail Check,Yes
214,215,48,20,No,64.27,40,Salary,133681.6,57.7366990846682,Sales,Female,Married,8.0,5.0,Mail Check,Yes
215,216,34,6,Yes,29.97,40,Salary,62337.6,89.0,Sales,Male,Married,4.0,20.0,Mail Check,Yes
216,217,38,8,Yes,44.98,40,Salary,93558.4,74.0,Marketing,Female,Single,3.0,14.9435790506562,Mail Check,No
217,218,28,4,Yes,25.45,40,Salary,52936.0,49.0,Laboratory,Female,Married,1.0,9.0,Mail Check,Yes
